sample_ID	sample_type	order	sample_site	feeding_habits	bird_type	num_seqs	Group	sample_type2
2019-NC-BM-2	Cloacal_swab	Charadriiformes	HH	Carnivorous	Wader	296918259	Wader-Carnivorous	Faeces-like_sample
2019-NC-BM-3	Pharyngeal_swab	Charadriiformes	HH	Carnivorous	Wader	89063078	Wader-Carnivorous	Pharyngeal_swab
2019-NC-BM-4	Cloacal_swab	Charadriiformes	HH	Carnivorous	Wader	200642720	Wader-Carnivorous	Faeces-like_sample
2019-NC-BM-5	Pharyngeal_swab	Charadriiformes	HH	Carnivorous	Wader	45774741	Wader-Carnivorous	Pharyngeal_swab
2019-NC-BM-6	Cloacal_swab	Charadriiformes	HH	Carnivorous	Wader	384258885	Wader-Carnivorous	Faeces-like_sample
2019-NC-BM-7	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	254774601	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-8	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	153780682	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-9	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	202039601	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-10	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	92879716	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-11	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	58310203	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-12	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	53216645	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-13	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	658710714	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-14	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	619321697	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-15	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	102113770	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-16	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	267955448	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-17	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	105319943	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-18	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	299524339	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-19	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	123254944	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-20	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	546671055	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-21	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	481274220	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-22	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	220745009	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-23	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	81847937	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-24	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	65805810	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-25	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	966192516	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-26	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	128122101	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-27	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	179676692	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-28	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	156534495	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-29	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	184686040	Natatores-Herbivorous	Pharyngeal_swab
2019-NC-BM-30	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	78048804	Natatores-Herbivorous	Faeces-like_sample
2019-NC-BM-31	Pharyngeal_swab	Gruiformes	HH	Omnivorous	Natatores	129755127	Natatores-Omnivorous	Pharyngeal_swab
2019-NC-BM-32	Cloacal_swab	Gruiformes	HH	Omnivorous	Natatores	166598451	Natatores-Omnivorous	Faeces-like_sample
NCJD-19BV-1	Faeces	Anseriformes	HH	Herbivorous	Natatores	274795521	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-2	Faeces	Anseriformes	HH	Herbivorous	Natatores	263613842	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-3	Faeces	Anseriformes	HH	Herbivorous	Natatores	76249211	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-4	Faeces	Anseriformes	HH	Herbivorous	Natatores	320434201	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-5	Faeces	Charadriiformes	HH	Carnivorous	Wader	726438692	Wader-Carnivorous	Faeces-like_sample
NCJD-19BV-6	Faeces	Anseriformes	HH	Herbivorous	Natatores	260948538	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-7	Faeces	Anseriformes	HH	Herbivorous	Natatores	411847844	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-8	Faeces	Anseriformes	HH	Herbivorous	Natatores	204168982	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-9	Faeces	Anseriformes	HH	Herbivorous	Natatores	135104981	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-10	Faeces	Anseriformes	HH	Herbivorous	Natatores	406921249	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-11	Faeces	Charadriiformes	HH	Carnivorous	Wader	179485838	Wader-Carnivorous	Faeces-like_sample
NCJD-19BV-12	Faeces	Anseriformes	HH	Herbivorous	Natatores	149125023	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-13	Faeces	Anseriformes	HH	Herbivorous	Natatores	320479605	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-14	Faeces	Anseriformes	HH	Herbivorous	Natatores	446228698	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-15	Faeces	Gruiformes	HH	Omnivorous	Natatores	201385456	Natatores-Omnivorous	Faeces-like_sample
NCJD-19BM-48	Pharyngeal_swab	Podicipediformes	HH	Carnivorous	Natatores	101024342	Natatores-Carnivorous	Pharyngeal_swab
NCJD-19BM-49	Cloacal_swab	Podicipediformes	HH	Carnivorous	Natatores	1144097581	Natatores-Carnivorous	Faeces-like_sample
NCJD-19BM-50	Pharyngeal_swab	Podicipediformes	HH	Carnivorous	Natatores	249419534	Natatores-Carnivorous	Pharyngeal_swab
